Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F3: 130N, Sample, A, (-)BiotinPD","Abundance: F3: 129C, Sample, A, (-)Hpg","Abundance: F3: 126, Sample, A, 0_0Hr","Abundance: F3: 127N, Sample, A, 0_5Hr","Abundance: F3: 127C, Sample, A, 1_0Hr","Abundance: F3: 128N, Sample, A, 1_5Hr","Abundance: F3: 128C, Sample, A, 2_0Hr","Abundance: F3: 129N, Sample, A, 3_0Hr","Abundance: F3: 134N, Sample, B, (-)BiotinPD","Abundance: F3: 133C, Sample, B, (-)Hpg","Abundance: F3: 130C, Sample, B, 0_0Hr","Abundance: F3: 131N, Sample, B, 0_5Hr","Abundance: F3: 131C, Sample, B, 1_0Hr","Abundance: F3: 132N, Sample, B, 1_5Hr","Abundance: F3: 132C, Sample, B, 2_0Hr","Abundance: F3: 133N, Sample, B, 3_0Hr","Abundance: F4: 133C, Sample, C, (-)BiotinPD","Abundance: F4: 126, Sample, C, (-)Hpg","Abundance: F4: 127C, Sample, C, 0_0Hr","Abundance: F4: 128C, Sample, C, 0_5Hr","Abundance: F4: 129C, Sample, C, 1_0Hr","Abundance: F4: 130C, Sample, C, 1_5Hr","Abundance: F4: 131C, Sample, C, 2_0Hr","Abundance: F4: 132C, Sample, C, 3_0Hr","Abundance: F4: 134N, Sample, D, (-)BiotinPD","Abundance: F4: 127N, Sample, D, (-)Hpg","Abundance: F4: 128N, Sample, D, 0_0Hr","Abundance: F4: 129N, Sample, D, 0_5Hr","Abundance: F4: 130N, Sample, D, 1_0Hr","Abundance: F4: 131N, Sample, D, 1_5Hr","Abundance: F4: 132N, Sample, D, 2_0Hr","Abundance: F4: 133N, Sample, D, 3_0Hr","Abundance: F9: 126, Sample, E, (-)BiotinPD","Abundance: F9: 130N, Sample, E, (-)Hpg","Abundance: F9: 129C, Sample, E, 0_0Hr","Abundance: F9: 129N, Sample, E, 0_5Hr","Abundance: F9: 128C, Sample, E, 1_0Hr","Abundance: F9: 128N, Sample, E, 1_5Hr","Abundance: F9: 127C, Sample, E, 2_0Hr","Abundance: F9: 127N, Sample, E, 3_0Hr","Abundance: F9: 134N, Sample, F, (-)BiotinPD","Abundance: F9: 130C, Sample, F, (-)Hpg","Abundance: F9: 131N, Sample, F, 0_0Hr","Abundance: F9: 131C, Sample, F, 0_5Hr","Abundance: F9: 132N, Sample, F, 1_0Hr","Abundance: F9: 132C, Sample, F, 1_5Hr","Abundance: F9: 133N, Sample, F, 2_0Hr","Abundance: F9: 133C, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
Q66X93,Staphylococcal nuclease domain-containing protein 1 OS,SND1,22.785,9,6,8,6,55.6,8.5,14.7,19.3,11.5,7.4,11.4,18,51.3,11,15.8,11.8,10.3,13.8,11.8,12.5,516.6,37.5,73.8,53.1,46.3,15.1,39.5,32.7,729,32.8,45.2,43,31.8,47.3,58.6,67.4,282.2,21.1,22.4,20.2,31.2,28.1,30,17.7,172.7,22.6,27.5,23.8,21.5,26.1,17.8,25.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6C4,UDP-glucose 6-dehydrogenase OS,UGDH,22.682,15,6,18,6,352.1,33,39.6,41.2,36.8,48.7,36.2,45.5,390.4,20.4,51.1,23,31.1,44.7,29.3,35.5,492.4,7,11.5,11.1,7.2,4.2,9.5,5.1,617.9,8.3,10.5,8.3,10.3,8.8,12.8,1.6,489.4,20.7,21.2,19.8,27,16.7,4.8,20.5,222.2,22.8,13.7,33.4,23.4,30.9,20.5,30.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
B1WC67,Protein Slc25a24 OS,SLC25A24,22.525,23,6,9,6,,,,,,,,,,,,,,,,,15.1,2.7,3.3,3.4,5.1,2.5,4.5,7.4,138.3,,5.1,3.6,3.8,8.9,7.5,5.6,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,100%,,,,100%,100%,,,,,100%,88%,,
Q9ER34,"Aconitate hydratase, mitochondrial OS",ACO2,22.387,12,7,9,7,,,,,,,,,,,,,,,,,82.3,31.7,35,40.7,28.8,24.5,24.6,41.9,262.3,30.6,34.5,32.3,32.1,43.6,29.8,39.1,1033.6,32.6,67,70.3,82,43.8,8.4,49.6,606.5,37.4,52.4,75.4,43.3,49.3,39.5,59.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
B5DFL7,Protein Sema3c OS,SEMA3C,22.271,8,6,8,6,1000,11.6,18.9,21.5,9.1,13.2,13.4,6.5,1131.4,10.1,,,11,11.7,12.7,,169.2,,2.5,1.7,4.7,,2.5,5.1,183.2,,6.6,,,3.8,,0.9,1374,29.1,44.1,44.9,35.9,41.1,43,39.2,835.4,40.6,33,35.4,31.2,32.2,22.9,45.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,79%,71%,100%,100%,57%,86%,57%,100%,100%,100%,63%,75%,50%,100%,100%
D3ZAN3,Alpha glucosidase 2 alpha neutral subunit (Predicted) OS,GANAB,22.19,7,5,9,5,,,,,,,,,,,,,,,,,416.6,17.5,51.5,47.7,60.5,38.7,39.8,40.2,880.4,28.3,54.6,44.3,49.8,71.6,53.9,15.6,765.5,62.8,69.4,73.3,77.8,53.9,80,64.6,560,60.4,59.5,87.9,58.1,61.7,39.2,74.9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P10760,Adenosylhomocysteinase OS,AHCY,22.164,12,5,7,4,275.8,25.6,31.4,44.6,35.3,23.1,25.6,35.6,351.8,13.1,23.1,13.4,27.8,31.7,25,15.2,123.5,13,17.3,12,8.4,8.9,11.7,16.4,159.8,11.9,13.1,8.3,15.7,13.2,15.8,10.4,1881.7,83.8,105.5,93.5,103.6,95.3,5.5,88.9,1075.3,89.9,99.9,129,72.3,86.6,80.7,149.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LM66,Protein Eftud2 OS,EFTUD2,22.163,8,6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.9,17,20.2,17.7,24.2,18.8,10.7,22.5,303.9,16.8,19,32.7,15.2,24,9.4,25.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P25113,Phosphoglycerate mutase 1 OS,PGAM1,21.886,23,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.3,17.4,21.8,19.2,28.3,18.4,,21.9,317.6,26.9,28.3,35.6,23.8,26.8,18.4,34.6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,86%,100%,,,,,88%,100%
Q52KS1,6-phosphofructokinase OS,PFKM,21.831,7,5,12,3,,,,,,,,,,,,,,,,,162.2,,2.9,,2.3,,1.8,,195.7,,3.5,,1.8,3.5,2.9,,384.4,47,62.4,47.6,65.9,61.1,57,64.3,280.6,54.4,55.9,151.6,55.8,66.5,45.1,78,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,64%,100%,,,57%,71%,100%,100%,,,50%,63%,100%,100%
P00507,"Aspartate aminotransferase, mitochondrial OS",GOT2,21.773,20,7,13,7,,,,,,,,,,,,,,,,,18.8,94.2,94.8,66.8,71.5,61.3,98,85.6,100.3,49.4,84,64.2,77.1,66.4,69.4,64.3,648.6,35.5,49.8,42.5,56.3,42.4,35.8,44.9,474.5,35,44.9,64.8,29.5,47,27.8,74.9,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
F1LSQ6,Proteasome subunit alpha type OS,PSMA7,21.625,25,6,15,6,894.4,49.1,56.4,95.2,66,52.6,54.7,108.4,974.6,45,64.9,28.4,68.3,55.9,49.8,34.6,644.8,26.2,36.4,51.6,34,31.1,39,37.5,927.9,26.3,30,29.5,34,43.9,50.4,22.8,131.8,3.7,7.2,2,4.2,,,3.6,63.4,3.3,5,4.4,,4.1,6.4,2.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100%,100%,79%,100%,100%,100%,100%,71%,86%,100%,100%,100%,100%,75%,88%
Q62636,Ras-related protein Rap-1b OS,RAP1B,21.402,35,5,10,2,672.6,9.9,16.7,45,29,18.5,24.2,38.8,679.7,16.2,7.5,10.2,20.1,24.5,18.6,9.4,,,,,,,,,,,,,,,,,1131.6,47.3,74.9,67.5,64.6,50.5,40.2,75.1,703.7,55.8,61.2,80,105.1,60.7,38,83.6,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
G3V7Q6,Proteasome subunit beta type OS,PSMB5,21.383,19,4,6,4,582.3,13.9,13.8,21.7,17.2,14.7,14.1,22,613.9,13.2,9.4,,15.7,21.2,17,8.1,138.2,2.9,3.5,3.5,2.2,4.3,4.6,,174.9,3.3,4.6,1.8,6.3,2.4,6.7,1.8,458.4,54.7,62.6,43.7,65.8,51.6,33.7,63,371.2,49.4,54.3,65.7,44.1,54.5,44.6,72.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,93%,100%,100%,86%,86%,100%,100%,100%,100%,88%,88%,100%,100%,100%
Q80U96,Exportin-1 OS,XPO1,20.789,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.5,13.7,17.8,12.2,16.6,7,,13.8,243.5,12.7,15.2,17.7,17.1,15.3,11.6,24.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,86%,100%,,,,,88%,100%
P54311,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS,GNB1,20.753,21,6,12,2,284,7.3,11.4,24.1,14.4,7.4,15,10.4,289.6,4.5,9.2,0.6,11,12.5,13,6.4,307.7,5,35.7,31.1,32.2,15.5,32.7,28.9,951.7,5.3,40.9,31.3,33.9,61.2,53.6,23.6,549.1,25.2,43.2,67.4,48.6,54.2,35.9,33.6,675.2,18.6,33,31.2,27.2,23.4,14.2,32.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9WU82,Catenin beta-1 OS,CTNNB1,20.492,9,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
Q66H11,Protein RGD1306195 OS,RGD1306195,20.339,18,4,10,4,147.7,38.8,31.1,32.2,41.2,40.4,41.8,50.4,171.8,18.4,43.2,33.3,31.5,40.4,20.9,21.2,259.9,4,4.7,4.9,5.6,3,2.8,0.3,379.5,,5.7,2.7,4.5,7.9,3.3,3.9,312.1,6,12.9,7.9,13.1,9.1,,3.9,150.8,7.2,8.1,12.7,7.1,8.4,6.3,7.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,100%,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,88%,88%,100%
Q6P9V6,Proteasome subunit alpha type OS,PSMA5,20.179,14,3,12,3,76.1,9.3,8.6,9.7,5.3,3.6,4.2,8.2,76.8,5.4,3.9,3.7,8.9,7.2,5.2,0.6,,,,,,,,,,,,,,,,,220.4,4.2,7.8,7.1,8.7,9.5,,5.3,154.3,7.7,9.6,10.5,4.8,9.6,4.2,8.9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,100%,,93%,100%,100%,,,86%,100%,100%,100%,,,88%,100%
P11884,"Aldehyde dehydrogenase, mitochondrial OS",ALDH2,20.132,11,5,9,5,252.3,5.2,13.3,9.2,9.3,7.4,10.9,11.4,285.5,4.6,10.6,2,6,6.6,8.7,4.7,32.1,,4.3,3.9,,2.2,5.3,4.2,97.4,,5,4.9,,8.9,5.2,1.9,2173,90.3,126.6,155.7,155.7,120.8,87.9,128,1820.4,110.4,122.3,129.6,104.4,118.1,84.6,153.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,86%,100%,100%,100%,86%,86%,100%,100%,100%,100%,75%,75%,100%,100%
M0RB74,Protein Ipo5 OS,IPO5,19.978,7,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.6,12.8,18,14.1,11.7,6.5,8.7,13.3,97.5,7.5,10.9,14.6,12.3,15.8,8.7,10.3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
F2Z3T7,Isochorismatase domain-containing protein 1 OS,ISOC1,19.451,32,7,11,7,253.1,9.5,6.1,19.4,8.3,10,15.6,18,246.3,10.3,19.5,5.9,8.9,8,6.7,9.7,57,5.4,2.6,3.5,3.1,3.4,5.2,2.9,77.4,,4.5,6.4,4.4,,4.4,1.9,404.5,42.9,44.7,31.4,49.1,36.4,36.8,47,258.9,43.7,46.7,67.6,35.5,49.5,48.3,65,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,75%,100%,100%
P97852,Peroxisomal multifunctional enzyme type 2 OS,HSD17B4,19.337,7,4,5,4,165.7,13.6,14,26.1,11.2,20.7,14.3,35.1,142.4,11.5,17.1,5.9,14.4,18.4,15.8,12.3,,,,,,,,,,,,,,,,,73.6,5.2,8.7,10.7,9.1,8.5,13.7,10.4,55.9,10.9,9.3,17.5,7.1,10.1,2.1,11.2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
F1M9K9,"6-phosphogluconate dehydrogenase, decarboxylating OS",KIF1B,19.247,6,4,12,4,111.6,26.3,18,26.5,22.2,20.2,23.5,22.5,106.1,14.6,17.7,8.1,17.9,22,12.1,19.7,,,,,,,,,,,,,,,,,1170.7,23.3,43.9,55.8,51.9,34.7,24.2,57.5,663.8,52.1,78.7,99,32.6,38.3,28.9,96.4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
R9PXZ2,Heterogeneous nuclear ribonucleoprotein Q (Fragment) OS,SYNCRIP,19.061,14,7,7,7,56.9,15.6,12.2,22.5,9.8,12.7,16.9,18.9,110,9.7,12.9,12,12,16.2,7.9,11.6,,,,,,,,,,,,,,,,,1790.9,57.9,81.6,85.1,96.6,65.5,12.1,77.9,1202.5,68.8,67.2,87,58.4,68.2,41.6,75.7,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
G3V8A5,Vacuolar protein sorting-associated protein 35 OS,VPS35,18.939,6,4,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.3,22.6,37.6,37.2,37.8,35.1,11.8,34.5,884.5,34.3,31.2,62.7,29.3,38.5,24.1,36.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P68255,14-3-3 protein theta OS,YWHAQ,18.808,32,7,11,4,,,,,,,,,,,,,,,,,309.1,4.3,18.1,12.9,13.8,12.1,13.9,9.1,443.4,7.3,20.9,17.2,15.9,23,15.3,9,106.5,9.9,9.2,6.8,9,5.8,2.9,8.9,38.7,6.8,6.7,3.8,7.3,11,9.2,12.4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P97536,Cullin-associated NEDD8-dissociated protein 1 OS,CAND1,18.746,6,6,10,6,,,,,,,,,,,,,,,,,649.2,8.4,18.3,9.5,11.9,10.5,11.1,1.7,700.3,4.5,16.8,10.1,14.7,17,13.7,2.4,502.7,39.6,55.5,37.4,55.2,33.7,51.5,39.1,451.4,41.8,54,51.9,31.8,44.5,29.8,85.1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
F1LP60,Moesin (Fragment) OS,MSN,18.743,11,4,7,3,448.3,5.1,11.9,39.5,12.2,6.3,9.9,40.5,444.2,7.3,16,,9.6,11.7,10.1,6.9,,,,,,,,,,,,,,,,,816.1,24.3,17,21.7,25.2,19.7,,16.7,443.8,24.4,17.7,23.9,21.1,29.4,26.2,20.9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,93%,,93%,100%,86%,,,86%,100%,100%,88%,,,88%,100%
Q6IE67,Proteasome subunit alpha type OS,PSMA3,18.689,20,5,10,5,426.8,25.8,26.6,43.7,27.9,24.9,31.3,40.7,455.2,16.7,28.4,30.1,20.5,26.5,28,16.2,500.6,18.7,20.7,19.3,16.8,13.5,32.6,22.4,604.2,14.9,17.8,13.8,28.1,25.7,20.7,7.8,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,100%,100%,,100%,100%,100%,100%,,,100%,100%,100%,100%,,
P35280,Ras-related protein Rab-8A OS,RAB8A,18.577,21,4,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
Q7M0E3,Destrin OS,DSTN,18.451,33,5,11,4,469,17.4,26.1,55.5,22.5,22.5,22.4,38.7,477,11.4,36.8,4.9,20.9,17.6,17.8,8.6,218.2,11.6,24.9,19.4,11.7,5.9,11.3,12.9,289.9,9.9,16.4,7.7,17,13.8,12.8,16.6,129.8,8.3,15.9,11.9,9.5,9.3,13,14.6,92.3,8.7,16.2,26.3,11.7,12.8,9.2,18.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LMU0,Myosin-4 OS,MYH4,18.361,4,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,8.1,13.1,14.2,9.6,12.4,12.4,8.2,19.9,10.9,11.1,15.8,5.4,7.8,5.2,28.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q5RKH6,Protein OS-9 OS,OS9,18.204,8,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.6,33.1,58.1,52.6,81.7,45.8,48.4,50.7,376.2,33.4,48.4,58.5,31.6,43.8,49.7,50,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
D3ZSA9,Protein Nomo1 OS,NOMO1,18.199,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.9,10.9,18.7,22.8,22.3,21,14.9,19,130,15.9,18.1,23.5,13.9,17.9,19.9,26.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q794F9,4F2 cell-surface antigen heavy chain OS,SLC3A2,18.184,15,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4,32.8,29.3,29.3,41.3,31.3,35.1,40.9,132,32.9,32.9,55.7,20.4,26,24.9,36.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q6TXE9,LRRGT00050 OS,EPRS,18.102,4,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.4,6.5,21,15.9,11.2,11.7,21.2,15,263.9,10.3,14,19.3,17,15.3,9.8,29.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
F1LRV9,Protein Myh1 OS,MYH1,17.963,4,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.1,44.1,64.5,65.1,63.7,55.5,77.2,47.9,157.3,44.5,62.7,70.3,49.7,66.3,49.4,481.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P25235,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS,RPN2,17.778,12,6,9,6,,,,,,,,,,,,,,,,,91.4,5.7,18.5,15.1,14.9,11.6,15.7,14.9,408.2,5.8,16.6,14.9,14.1,26.2,17.6,4.1,576.6,18.7,37.8,38.2,37.4,29.2,33,25.4,584.5,27.6,25.6,30.7,20.1,34.5,14.2,29,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
F1M798,"Bone morphogenetic protein 1, isoform CRA_b OS",BMP1,17.453,8,8,10,5,1687.2,11.4,23,71.5,21.2,14.9,19.5,27.9,1966.6,11.4,14.8,,26.6,25.7,23.4,1.3,,,,,,,,,,,,,,,,,290.9,3.9,5.5,7.4,8.8,6.4,,5.5,160.1,28.3,8.3,12.4,5.1,5.4,,12.2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,93%,,86%,100%,86%,,,86%,86%,100%,88%,,,88%,88%
P29314,40S ribosomal protein S9 OS,RPS9,17.427,35,8,10,8,167.7,1.7,3.2,4.7,,5,2.9,12.3,162,3.4,,,3.4,6.8,2.4,,759.4,7,9.9,15.8,21.7,20.7,17.6,11.5,1094.2,4.7,28.8,18.8,21.1,32.3,18.9,1.2,3308,39.1,68.7,74.3,61.1,55,,39.7,2196.2,57.9,51.7,70.9,45.6,52.3,22.3,74,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,71%,100%,93%,86%,57%,100%,100%,86%,100%,88%,63%,100%,100%,88%,100%
F1LZW6,Protein Slc25a13 (Fragment) OS,SLC25A13,17.422,6,3,4,3,,,,,,,,,,,,,,,,,42.4,,10.3,7.2,5.6,2.7,7,3.4,162.9,3.6,9.8,4.3,6.7,5.4,5.6,4.1,245.5,17.3,20.4,18.4,26.5,15.7,15.9,22.6,186.1,20.4,20.8,23.7,12.7,15.7,22.4,27.3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,88%,100%,100%,100%
Q6PCT9,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6 OS",PSMD6,17.291,13,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.2,26.9,37.7,25.8,33.4,26.7,10,23,462.2,30,29.7,66.4,23.5,26.7,22.5,34.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q68FR6,Elongation factor 1-gamma OS,EEF1G,17.251,18,8,18,8,4767.5,46,60.7,197.8,71.5,44.7,72.9,107.5,5462.8,31.4,40,7,51.6,57.3,61.4,8.3,1126.7,13.4,17.8,20,18.5,23.7,25.6,14.9,1403.3,9.6,27.3,25.9,27.9,31.4,23,12.4,1866.3,69.5,103.6,92.3,88.9,95.4,120.4,101.2,909.2,87.6,93.3,87.7,98.2,88.1,57.2,111.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P62243,40S ribosomal protein S8 OS,RPS8,17.101,29,5,10,5,320.4,20.1,24.3,50.6,28,24.4,25.5,43,361.4,17.2,22.6,3.5,22.1,24.6,16.7,20.5,25.4,12.1,11.7,9.4,18.6,6.2,15.8,14.9,34.1,15.8,17.3,16.6,15.8,15.6,15,24.4,823.7,63.7,84.8,79.3,97.6,75,93.3,95.5,474,78.1,87.5,90.5,84.5,90.4,60.9,91,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9WVB1,Ras-related protein Rab-6A OS,RAB6A,17.057,21,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.6,3.5,5,9.8,8.5,3,4.3,8.4,122.7,8,5.9,12.6,9,5.8,6,8.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
B2RYC9,Gba protein OS,GBA,17.035,8,4,9,4,382.3,6.7,7.5,17.3,13,10.1,7.4,11.4,412.6,4.9,11.2,2.3,12.1,11.9,7.8,1.7,433.8,2.5,3.5,3.7,,5.1,5.3,,505.4,,7.1,1.6,4.6,4.8,5.5,,796.9,42.2,52.8,47.4,40.6,32.8,22.8,42.8,499,39.9,41.2,48.2,40.9,36.2,26.2,62.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,79%,100%,100%,100%,71%,86%,100%,100%,100%,100%,75%,75%,100%,100%
D3ZUB0,Protein Rcn1 OS,RCN1,17.031,17,6,8,6,122.8,8.2,11.3,20.7,17.2,15.8,22.2,8.9,93.5,8.7,9,6.6,7.7,16.6,11.4,9.1,305.3,16.6,93.4,96.2,108.3,73.5,87.9,104.9,1560.4,77.8,135.8,105.5,155.4,207.9,169.3,79.1,497,24.7,34.5,47.8,48.1,41.1,33.1,28.2,154.9,28.4,30.8,33.9,24.1,31.1,31.1,34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
